gap_id,log_file,domain,flow_id,severity,title,doc_claim,status,evidence,commit,verified_by,verified_on,notes
ACCOUNT_DELETION:DEL-1,ACCOUNT_DELETION_GAP_LOG.md,11,11.5,P0,Active Storefronts Left Running During Deletion Grace Period,,UNVERIFIED,,,,,"Account deletion ignores owned businesses and providers. Storefronts remain open for 30 days while owners are locked out, allowing customers to place unfulfillable orders."
ACCOUNT_DELETION:DEL-2,ACCOUNT_DELETION_GAP_LOG.md,11,11.5,P0,Purge Edge Function Crashes on Un-Cascaded Foreign Keys,,UNVERIFIED,,,,,"Deleting a business fails with FK violation if bulk_deal_campaigns exist, preventing permanent account purge and leaving user data stranded in Postgres."
ACCOUNT_DELETION:DEL-3,ACCOUNT_DELETION_GAP_LOG.md,11,11.5,P1,Incomplete Data Export Violates Data Portability (GDPR Art. 20),,UNVERIFIED,,,,,"exportData() omits chat messages, orders, reviews, agreements, and emergency contacts, providing an incomplete personal data export."
ACCOUNT_DELETION:DEL-4,ACCOUNT_DELETION_GAP_LOG.md,11,11.5,P1,Deletion-Pending Route Guard Traps Users and Blocks Legal Links,,UNVERIFIED,,,,,"App.tsx redirects all non-/auth/deletion-pending routes, preventing users from viewing /legal/account-deletion or privacy policies during grace period."
ACCOUNT_DELETION:DEL-5,ACCOUNT_DELETION_GAP_LOG.md,11,11.5,P1,cancelDeletion() Forcibly Flips customer_enabled Overriding Privacy,,UNVERIFIED,,,,,"Restoring an account sets customer_enabled: true unconditionally, exposing profiles that were intentionally kept hidden prior to deletion."
ACCOUNT_DELETION:DEL-6,ACCOUNT_DELETION_GAP_LOG.md,11,11.5,P2,Missing Re-Authentication Challenge on Account Deletion Modal,,UNVERIFIED,,,,,"Deletion can be scheduled with zero credentials re-entered, creating a risk on shared or unattended mobile devices."
ADMIN_MODERATION:MOD-1,ADMIN_MODERATION_GAP_LOG.md,11,11.6,P0,Silent Content Removal Without Author Notification or Explanation,,UNVERIFIED,,,,,"Moderating posts, comments, or requests silently wipes content with zero notice or explanation to the author, causing user confusion and complaints."
ADMIN_MODERATION:MOD-2,ADMIN_MODERATION_GAP_LOG.md,11,11.6,P0,"Unhandled Report Target Types (USER, PROPOSAL, RATING) No-Op",,UNVERIFIED,,,,,"Flagged fake ratings, scam proposals, and abusive users fall through unhandled in takeAction, resolving reports as ""action taken"" while leaving abusive content live."
ADMIN_MODERATION:MOD-3,ADMIN_MODERATION_GAP_LOG.md,11,11.6,P0,Moderation Actions Bypass Audit Trail (admin_action_logs),,UNVERIFIED,,,,,"Deleting posts, comments, and cancelling requests from the reports queue leaves no entry in admin_action_logs, creating insider abuse risk."
ADMIN_MODERATION:MOD-4,ADMIN_MODERATION_GAP_LOG.md,11,11.6,P1,Blind Moderation Hazard (Zero Content Preview or Details in Reports),,UNVERIFIED,,,,,"Admins cannot preview reported text, images, or reporter details in AdminReports, forcing blind destructive decisions."
ADMIN_MODERATION:MOD-5,ADMIN_MODERATION_GAP_LOG.md,11,11.6,P1,Content Appeals Architecture Excludes Customers and Regular Users,,UNVERIFIED,,,,,appealService only permits business and provider review requests. Community posters and customers have no recourse to contest removals.
ADMIN_MODERATION:MOD-6,ADMIN_MODERATION_GAP_LOG.md,11,11.6,P1,Non-Atomic Moderation Resolution Creates Orphaned Open Reports,,UNVERIFIED,,,,,Deleting content before updating report status leaves reports permanently stuck open if the second network call fails.
AGREEMENT_NEGOTIATION:A1,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P0,Business Owners & Team Mates Completely Locked Out of Agreements,,UNVERIFIED,,,,,"In read_agreements (20260824_booking_and_rpc_security.sql:37-49) and all lifecycle RPCs (agreement_confirm, agreement_complete, agreement_confirm_payment, agreement_start_work, agreement_submit_review, agreement_dispute, agreement_cancel), authorization strictly enforces auth.uid() in (requester_user_id, responder_user_id). When an employee (e.g. Alice on behalf of ""Sharma Bakery"") submits a proposal, responder_user_id is set to Alice. Shop owner Bob and all other team members get Agreement not found on /agreement/:id, cannot see the agreement in /agreements, and cannot confirm or manage payment."
AGREEMENT_NEGOTIATION:A2,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P0,Broken Profile Navigation on Agreement Cards (404 Crash),,UNVERIFIED,,,,,"In AgreementScreen.tsx:657, clicking the user card executes nav('/u/${targetUserId}'). The /u/:id route does not exist in App.tsx. Clicking anywhere on the party card (outside the small inner avatar) crashes into a 404 page, navigating the user out of the active contract."
AGREEMENT_NEGOTIATION:A3,AGREEMENT_NEGOTIATION_GAP_LOG.md,4,4.3,P0,10-Minute PENDING Expiry Window Destroys Legitimate Deals,,UNVERIFIED,,,,,"In AgreementScreen.tsx:178-198 and cancel_expired_agreements (20260825_agreement_cancel_and_expiry.sql:76-84), agreements that are not confirmed by BOTH parties within 10 minutes (600 seconds) are automatically marked CANCELLED. In a real-world local service marketplace, tradespeople driving or working lose ~90% of won deals before they can open their phones."
